time,rho,T,vx,by,bz
0,4.97E-20,364836.7661,489310,1.04E-08,1.33E-08
60,4.61E-20,425348.5258,487426,1.40E-08,-6.61E-09
120,4.45E-20,327217.2392,490838,1.20E-08,-1.21E-08
180,4.29E-20,241936.796,494251,1.41E-08,-1.30E-08
240,4.82E-20,284670.434,494690,1.27E-08,-1.93E-09
300,4.24E-20,291808.3731,501069,4.71E-09,1.21E-08
360,3.66E-20,299034.5065,507440,6.23E-09,1.81E-08
420,3.96E-20,306348.8343,505616,1.24E-08,1.34E-08
480,4.26E-20,313751.3564,503791,1.37E-08,1.18E-08
540,4.08E-20,420160.1458,497914,9.23E-09,1.21E-08
600,4.32E-20,352785.474,498162,4.49E-09,1.42E-08
660,4.56E-20,291294.2929,498415,6.61E-09,1.25E-08
720,4.62E-20,344737.7407,499646,9.04E-09,1.07E-08
780,4.68E-20,402680.2601,500877,1.35E-08,-8.50E-09
840,4.49E-20,373316.1875,497023,1.27E-08,-7.26E-09
900,4.46E-20,358370.7286,493819,1.36E-08,-8.44E-09
960,4.42E-20,343731.629,490615,1.14E-08,-6.73E-09
1020,4.45E-20,340247.9526,490548,1.05E-08,-5.60E-09
1080,4.47E-20,336782.8435,490481,1.05E-08,-6.69E-09
1140,4.54E-20,381673.7614,483245,1.06E-08,-7.53E-09
1200,4.53E-20,383437.6482,483058,1.25E-08,-5.71E-09
1260,4.52E-20,385206.1767,482870,8.96E-09,-1.02E-08
1320,4.51E-20,386978.1867,482681,8.09E-09,-1.22E-08
1380,4.58E-20,373840.7117,478668,6.24E-09,-1.28E-08
1440,4.66E-20,360929.5248,474659,3.98E-09,-1.31E-08
1500,4.29E-20,317367.3243,475774,1.24E-08,-1.50E-09
1560,3.91E-20,276606.4544,476886,1.23E-08,8.75E-11
1620,4.15E-20,288161.0731,468494,1.17E-08,-7.54E-09
1680,4.30E-20,304920.3181,467972,1.15E-08,-7.55E-09
1740,4.46E-20,322153.0275,467447,1.24E-08,-4.06E-09
1800,4.40E-20,302069.088,466183,1.01E-08,1.25E-09
1860,4.35E-20,282631.5202,464921,1.11E-08,2.79E-09
1920,4.07E-20,257606.3768,464287,1.08E-08,3.87E-09
1980,4.23E-20,275044.4862,462141,1.04E-08,4.75E-09
2040,4.40E-20,293052.3774,459994,8.53E-09,6.42E-09
